"id","seg1","seg2","seg3","seg4","seg5","seg6","seg7","seg8","seg9","seg10","type"
1,"Aujourd’hui","il","entretient","le lien","avec","son équipe",,,,,"Non-complex"
2,"Ce weekend","il","réserve","la rancontre","dans","le restaurant",,,,,"Non-complex"
3,"Venredi","il","décrit","la tâche","à","effectuer",,,,,"Non-complex"
4,"Cet après-midi","il","essuie","la vision","avec","son collègue",,,,,"Non-complex"
5,"Heureusement","il","décrit","l’accent","de","cette fille",,,,,"Non-complex"
6,"Maintenant","il","essuie","le défaut","de","cet appareil",,,,,"Non-complex"
7,"Normalement","il","trace","la chute","du","pilote",,,,,"Non-complex"
8,"Actuellement","il","surmonte","la terreur","dans","ce pays",,,,,"Non-complex"
9,"Normalement","il","protège","la chance","de","sa famille",,,,,"Non-complex"
10,"Ce matin","il","révèle","la perte","financière","actuelle",,,,,"Non-complex"
11,"Aujourd’hui","je","sais","la règle","exacte",,,,,,"Complex"
12,"Le weekend","elle","a","l’angoisse","de","tomber",,,,,"Complex"
13,"Heureusement","la","deuxième","tâche","est","la meilleure",,,,,"Complex"
14,"Sûrement","ça","vaut","un menson","pieux",,,,,,"Complex"
15,"Aujourd’hui","c’est","vraiment","une bande","chaotique",,,,,,"Complex"
16,"Maintenant","je","vois","le lien","exceptionnel",,,,,,"Complex"
17,"Normalement","on","a","une rancontre","par","mois",,,,,"Complex"
18,"Actuellement","c’est","vraiment","la chasse","au","trésor",,,,,"Complex"
19,"Normalement","on","entend","une discussion","structurée",,,,,,"Complex"
20,"Ce matin","je","vois","la chute","des","feuilles",,,,,"Complex"
21,"Cet après-midi","elle","a","une faim","de","loup","malheureusement",,,,"Literal"
22,"Ce matin","il","rend","le","dernier","soupir","dans","son lit",,,"Literal"
23,"Maintenant","elle","a","un chat","dans","la gorge","malheureusement",,,,"Literal"
24,"Aujourd’hui","il","a","une humeur","de","chien","à","l’école",,,"Literal"
25,"Le week-end","je","fonds","en","larmes","en","son absence",,,,"Literal"
26,"Maintenant","je","fais","une nuit","blanche","malheureusement",,,,,"Literal"
27,"Ce matin","il","se","tourne","les pouces","en","classe",,,,"Literal"
28,"Normalement","elle","fait","la","sourde","oreille","avec","nous",,,"Literal"
29,"Le week-end","elle","en","fait","tout","un mélo","chez","elle",,,"Literal"
30,"Actuellement","tu","as","l’embarras","du","choix","au","magasin",,,"Literal"
31,"Aujourd’hui","il","a","d’autres","chats","à","fouetter","à","Son bureau",,"Figurative"
32,"Normalement","elle","donne","Sa langue","au","chat","en","jouant",,,"Figurative"
33,"Vendredi","on","met","Le holà","à","Ce projet",,,,,"Figurative"
34,"actuellement","je","pédale","dans","La semoule"," avec","Ce projet",,,,"Figurative"
35,"maintenant","on","revient","à","Nos moutons","pendant","La réunion",,,,"Figurative"
36,"C’est","pisser","dans","Un violon","avec","Ces idées",,,,,"Figurative"
37,"malheureusement","Il ","brûle","Ses vaisseaux","dans","Son équipe",,,,,"Figurative"
38,"Ce soir","il","casse","Sa pipe","à","L’hôpital",,,,,"Figurative"
39,"Demain","je","découvre","Le pot","aux","roses","à","Ce propos",,,"Figurative"
40,"normalement","il","fait","La mouche","du","coche","dans","Notre magasin",,,"Figurative"
