id;seg1;seg2;seg3;seg4;seg5;seg6;seg7;seg8;seg9;question;qanswer;fname_audio;fname_label;type;tiernum;labels
1;aujourd’hui;il;entretient;le lien;avec;son equipe;;;;Il entretient le lien tout seul?;FALSE;simple_aujourdhui_entretient_lien_equipe.wav;simple_aujourdhui_entretient_lien_equipe.csv;SIMPLE;4;aujourd’hui/#il/#entretient/#le lien/#avec/son equipe
2;ce weekend;il ;reserve;la rancontre;dans;le restaurant;;;;Il reserve la rancontre dans le cafe?;FALSE;simple_ceweekend_reserve_rancontre_restaurant.wav;simple_ceweekend_reserve_rancontre_restaurant.csv;SIMPLE;1;ce weekend/#il/#reserve/#la rancontre/#dans/le restaurant
3;aujourd’hui;le lien;qu’il;entretient;avec;son equipe;est;important;;Le lien n’est pas important;FALSE;complex_aujourhui_lien_quil_entretient_important.wav;complex_aujourhui_lien_quil_entretient_important.csv;COMPLEX;1;aujourd’hui/#le lien/#qu’il/#entretient/#avec/#son equipe/#est/important
4;vendredi;la tache;qu’il;décrit;est;a;effectuer;;;La tache est a effectuer venredi;TRUE;complex_venredi_tache_quil_decrit_effectuer.wav;complex_venredi_tache_quil_decrit_effectuer.csv;COMPLEX;1;vendredi/#la tache/#qu’il/#décrit/#est/#a/effectuer
5;aujourd’hui;je ;sais;l’heure;exacte;;;;;Je ne sais pas l’heure exacte aujourd’hui;FALSE;hf_aujourdhui_jesais_lheure_exacte.wav;hf_aujourdhui_jesais_lheure_exacte.csv;HIGHFREQ;1;aujourd’hui/#je/#sais/#l’heure/exacte
6;ce week-end;elle;a;le temps;de;sortir;;;;Elle n’as pas le temps de sortir.;FALSE;hf_ceweekend_elle_a_le_temps_sortir.wav;hf_ceweekend_elle_a_le_temps_sortir.csv;HIGHFREQ;1;ce week-end/#elle/#a/#le temps/#de/#sortir
7;heureusement;la;deuxième;tache;est;la meilleure;;;;La troisieme tache est la meilleure.;FALSE;lf_heureusement_deuxieme_tache_lameilleure.wav;lf_heureusement_deuxieme_tache_lameilleure.csv;LOWFREQ;1;heureusement/#la/#deuxième/#tache/#est/la meilleure
8;normalement;on;entend;une discussion;structurée;;;;;On entend une discussion structuree;TRUE;lf_normalement_onentend_discussion_structuree.wav;lf_normalement_onentend_discussion_structuree.csv;LOWFREQ;1;normalement/#on/#entend/#une discussion/structuree
9;ce matin;il;rend;le;dernier;soupir;dans;son lit;;Il rend la premier soupir dans son lit;TRUE;literal_cematin_ilrend_ledernier_soupir_dans_lit.wav;literal_cematin_ilrend_ledernier_soupir_dans_lit.csv;LITERAL;1;ce matin/#il/#rend/#le/#dernier/#soupir/#dans/son lit
10;ce matin;il;se;tourne;les pouces;en;classe;;;Il se tourne les pouces.;TRUE;literal_cematin_ilsetourne_pouces_classe.wav;literal_cematin_ilsetourne_pouces_classe.csv;LITERAL;1;ce matin/#il/#se/#tourne/#les pouces/#en/classe
11;normalement;elle;donne;sa langue;au;chat;en;jouant;;Elle trouve une solution;TRUE;figurative_normalement_elle_donne_salangue_auchat_enjouant.wav;figurative_normalement_elle_donne_salangue_auchat_enjouant.csv;FIGURATIVE;1;normalement/#elle/#donne/#sa langue/#au/#chat/#en/jouant
12;c’est;pisser;dans;un violon;avec;ces idées;;;;Ces idees sont realisable.;FALSE;figurative_cest_pisser_dansun_violon_avec_cesidees.wav;figurative_cest_pisser_dansun_violon_avec_cesidees.csv;FIGURATIVE;1;c’est/#pisser/#dans/#un violon/#avec/ces idées
